timestamp_s,raw_mV,filtered_mV,is_r_peak,loop,hr_bpm,snr_db
0.000000,-1796.6250,-0.1156,0,2,,-34.52
0.002000,-1796.6250,27.1181,0,2,,-34.52
0.004000,-1921.9688,53.7030,0,2,,-34.52
0.006000,-1648.5937,78.7484,0,2,,-34.52
0.008000,-1648.6875,101.1720,0,2,,-34.52
0.010000,-1648.6875,119.9011,0,2,,-34.52
0.012000,-1648.7188,134.1604,0,2,,-34.52
0.014000,-1648.7188,143.6918,0,2,,-34.52
0.016000,-1648.6562,148.8107,0,2,,-34.52
0.018000,-1648.6875,150.3019,0,2,,-34.52
0.020000,-1648.5937,149.2160,0,2,,-34.52
0.022000,-1648.6250,146.6454,0,2,,-34.52
0.024000,-1648.6250,143.5421,0,2,,-34.52
0.026000,-1648.5937,140.6080,0,2,,-34.52
0.028000,-1648.6562,138.2627,0,2,,-34.52
0.030000,-1648.8125,136.6710,0,2,,-34.52
0.032000,-1648.6875,135.8042,0,2,,-34.52
0.034000,-1648.6875,135.5108,0,2,,-34.52
0.036000,-1648.7188,135.5807,0,2,,-34.52
0.038000,-1648.5937,135.7954,0,2,,-34.52
0.040000,-1648.5937,135.9627,0,2,,-34.52
0.042000,-1648.5625,135.9401,0,2,,-34.52
0.044000,-1648.6250,135.6472,0,2,,-34.52
0.046000,-1648.6250,135.0707,0,2,,-34.52
0.048000,-1648.7188,134.2578,0,2,,-34.52
0.050000,-1648.6875,133.3009,0,2,,-34.52
0.052000,-1648.6562,132.3126,0,2,,-34.52
0.054000,-1648.5937,131.3979,0,2,,-34.52
0.056000,-1648.6562,130.6283,0,2,,-34.52
0.058000,-1648.5937,130.0259,0,2,,-34.52
0.060000,-1648.6875,129.5620,0,2,,-34.52
0.062000,-1648.5937,129.1702,0,2,,-34.52
0.064000,-1648.5937,128.7706,0,2,,-34.52
0.066000,-1648.6250,128.2963,0,2,,-34.52
0.068000,-1648.7188,127.7140,0,2,,-34.52
0.070000,-1648.6562,127.0320,0,2,,-34.52
0.072000,-1648.6562,126.2939,0,2,,-34.52
0.074000,-1648.6875,125.5596,0,2,,-34.52
0.076000,-1648.5625,124.8826,0,2,,-34.52
