timestamp_s,filtered_mV,loop,hr_bpm,snr_wb_db,snr_qrs_db
0.168000,-81.1250,0,,,
0.178000,-79.6250,0,,,
0.188000,-83.1250,0,,,
0.198000,-83.2500,0,,,
0.208000,-78.5000,0,,,
0.218000,-85.2500,0,,,
0.228000,-82.7500,0,,,
0.238000,-75.8750,0,,,
0.248000,-79.0000,0,,,
0.258000,-80.3750,0,,,
0.268000,-79.7500,0,,,
0.278000,-79.6250,0,,,
0.288000,-85.1250,0,,,
0.298000,-73.2500,0,,,
0.308000,-76.5000,0,,,
0.318000,-81.1250,0,,,
0.328000,-80.8750,0,,,
0.338000,-80.1250,0,,,
0.348000,-80.3750,0,,,
0.358000,-83.8750,0,,,
0.368000,-79.2500,0,,,
0.378000,-75.3750,0,,,
0.388000,-82.2500,0,,,
0.398000,-82.1250,0,,,
0.408000,-80.8750,0,,,
0.418000,-83.2500,0,,,
0.428000,-82.2500,0,,,
0.438000,-78.0000,0,,,
0.448000,-81.1250,0,,,
0.458000,-81.1250,0,,,
0.468000,-80.1250,0,,,
0.478000,-79.7500,0,,,
0.488000,-82.1250,0,,,
0.498000,-79.3750,0,,,
0.508000,-79.8750,0,,,
0.518000,-78.3750,0,,,
0.528000,-82.1250,0,,,
0.538000,-81.2500,0,,,
0.548000,-78.1250,0,,,
0.558000,-82.1250,0,,,
0.568000,-81.3750,0,,,
0.578000,-83.1250,0,,,
0.588000,-81.7500,0,,,
0.598000,-82.6250,0,,,
0.608000,-80.2500,0,,,
0.618000,-84.2500,0,,,
0.628000,-81.5000,0,,,
0.638000,-78.5000,0,,,
0.648000,-82.8750,0,,,
0.658000,-82.3750,0,,,
0.668000,-82.1250,0,,,
0.678000,-80.8750,0,,,
0.688000,-80.0000,0,,,
0.698000,-85.1250,0,,,
0.708000,-81.8750,0,,,
0.718000,-79.1250,0,,,
0.728000,-80.5000,0,,,
0.738000,-80.6250,0,,,
0.748000,-81.3750,0,,,
0.758000,-82.1250,0,,,
0.768000,-81.3750,0,,,
0.778000,-83.0000,0,,,
0.788000,-81.8750,0,,,
0.798000,-78.7500,0,,,
0.808000,-77.6250,0,,,
0.818000,-80.0000,0,,,
0.828000,-81.2500,0,,,
0.838000,-81.1250,0,,,
0.848000,-82.3750,0,,,
0.858000,-82.1250,0,,,
0.868000,-82.2500,0,,,
0.878000,-84.3750,0,,,
0.888000,-80.6250,0,,,
0.898000,-81.7500,0,,,
0.908000,-78.6250,0,,,
0.918000,-79.0000,0,,,
0.928000,-81.0000,0,,,
0.938000,-83.8750,0,,,
0.948000,-81.8750,0,,,
0.958000,-81.6250,0,,,
0.968000,-77.2500,0,,,
0.978000,-80.7500,0,,,
