timestamp_s,raw_mV,filtered_mV,is_r_peak,loop,hr_bpm,snr_db
0.000000,-1650.0000,4.2022,0,2,,-0.90
0.002000,-1650.0000,441.8739,0,2,,-0.90
0.004000,-93.5000,843.8012,0,2,,-0.90
0.006000,-97.1250,1179.9536,0,2,,-0.90
0.008000,-99.8750,1431.3357,0,2,,-0.90
0.010000,-95.0000,1592.2822,0,2,,-0.90
0.012000,-94.5000,1669.7923,0,2,,-0.90
0.014000,-91.6250,1680.4296,0,2,,-0.90
0.016000,-88.5000,1645.8944,0,2,,-0.90
0.018000,-87.5000,1588.4711,0,2,,-0.90
0.020000,-88.8750,1527.2972,0,2,,-0.90
0.022000,-89.3750,1475.9882,0,2,,-0.90
0.024000,-88.7500,1441.7650,0,2,,-0.90
0.026000,-92.8750,1425.9147,0,2,,-0.90
0.028000,-95.5000,1425.2221,0,2,,-0.90
0.030000,-92.5000,1433.9096,0,2,,-0.90
0.032000,-92.6250,1445.6234,0,2,,-0.90
0.034000,-89.3750,1455.0703,0,2,,-0.90
0.036000,-94.8750,1459.0351,0,2,,-0.90
0.038000,-93.0000,1456.6751,0,2,,-0.90
0.040000,-93.5000,1449.1560,0,2,,-0.90
0.042000,-90.3750,1438.8402,0,2,,-0.90
0.044000,-88.6250,1428.3163,0,2,,-0.90
0.046000,-88.2500,1419.5613,0,2,,-0.90
0.048000,-88.1250,1413.4493,0,2,,-0.90
0.050000,-81.5000,1409.6940,0,2,,-0.90
0.052000,-80.6250,1407.1724,0,2,,-0.90
0.054000,-75.2500,1404.4665,0,2,,-0.90
0.056000,-77.5000,1400.4112,0,2,,-0.90
0.058000,-73.3750,1394.4603,0,2,,-0.90
0.060000,-75.3750,1386.7706,0,2,,-0.90
0.062000,-74.7500,1378.0125,0,2,,-0.90
0.064000,-77.3750,1369.0160,0,2,,-0.90
0.066000,-79.1250,1360.4069,0,2,,-0.90
0.068000,-85.7500,1352.3786,0,2,,-0.90
0.070000,-87.8750,1344.6771,0,2,,-0.90
0.072000,-91.1250,1336.7879,0,2,,-0.90
0.074000,-92.0000,1328.2346,0,2,,-0.90
0.076000,-99.8750,1318.8553,0,2,,-0.90
0.078000,-99.7500,1308.9393,0,2,,-0.90
0.080000,-99.5000,1299.1663,0,2,,-0.90
0.082000,-97.2500,1290.3709,0,2,,-0.90
0.084000,-96.6250,1283.2273,0,2,,-0.90
0.086000,-99.0000,1277.9769,0,2,,-0.90
0.088000,-99.1250,1274.3064,0,2,,-0.90
0.090000,-96.3750,1271.4278,0,2,,-0.90
0.092000,-95.3750,1268.3344,0,2,,-0.90
0.094000,-93.7500,1264.1402,0,2,,-0.90
0.096000,-94.5000,1258.3772,0,2,,-0.90
0.098000,-92.2500,1251.1417,0,2,,-0.90
0.100000,-90.8750,1243.0364,0,2,,-0.90
0.102000,-90.1250,1234.9326,0,2,,-0.90
0.104000,-91.6250,1227.6411,0,2,,-0.90
0.106000,-97.7500,1221.6151,0,2,,-0.90
0.108000,-92.2500,1216.7926,0,2,,-0.90
0.110000,-92.3750,1212.6365,0,2,,-0.90
0.112000,-90.5000,1208.3517,0,2,,-0.90
0.114000,-92.0000,1203.1953,0,2,,-0.90
0.116000,-91.0000,1196.7590,0,2,,-0.90
0.118000,-90.6250,1189.1191,0,2,,-0.90
0.120000,-91.1250,1180.8012,0,2,,-0.90
0.122000,-91.5000,1172.5773,0,2,,-0.90
0.124000,-92.7500,1165.1764,0,2,,-0.90
0.126000,-93.2500,1159.0182,0,2,,-0.90
0.128000,-93.8750,1154.0692,0,2,,-0.90
0.130000,-93.1250,1149.8701,0,2,,-0.90
0.132000,-90.5000,1145.7208,0,2,,-0.90
0.134000,-92.6250,1140.9467,0,2,,-0.90
0.136000,-90.8750,1135.1451,0,2,,-0.90
0.138000,-91.8750,1128.3196,0,2,,-0.90
0.140000,-85.1250,1120.8574,0,2,,-0.90
0.142000,-87.8750,1113.3632,0,2,,-0.90
0.144000,-90.0000,1106.4179,0,2,,-0.90
0.146000,-90.1250,1100.3538,0,2,,-0.90
0.148000,-91.8750,1095.1331,0,2,,-0.90
0.150000,-91.3750,1090.3743,0,2,,-0.90
0.152000,-88.3750,1085.5127,0,2,,-0.90
0.154000,-90.0000,1080.0315,0,2,,-0.90
0.156000,-89.3750,1073.6704,0,2,,-0.90
0.158000,-90.0000,1066.5301,0,2,,-0.90
0.160000,-90.6250,1059.0330,0,2,,-0.90
0.162000,-90.0000,1051.7573,0,2,,-0.90
0.164000,-89.1250,1045.2109,0,2,,-0.90
0.166000,-91.1250,1039.6330,0,2,,-0.90
0.168000,-86.7500,1034.9001,0,2,,-0.90
0.170000,-91.6250,1030.5713,0,2,,-0.90
0.172000,-85.8750,1026.0549,0,2,,-0.90
0.174000,-87.6250,1020.8318,0,2,,-0.90
0.176000,-87.2500,1014.6502,0,2,,-0.90
0.178000,-88.8750,1007.6182,0,2,,-0.90
0.180000,-88.2500,1000.1599,0,2,,-0.90
0.182000,-86.2500,992.8521,0,2,,-0.90
0.184000,-89.7500,986.2062,0,2,,-0.90
0.186000,-91.2500,980.4742,0,2,,-0.90
0.188000,-89.2500,975.5554,0,2,,-0.90
0.190000,-88.6250,971.0358,0,2,,-0.90
0.192000,-83.5000,966.3477,0,2,,-0.90
0.194000,-88.2500,960.9873,0,2,,-0.90
0.196000,-86.7500,954.7078,0,2,,-0.90
0.198000,-87.7500,947.6162,0,2,,-0.90
0.200000,-86.8750,940.1383,0,2,,-0.90
0.202000,-86.2500,932.8656,0,2,,-0.90
0.204000,-88.2500,926.3411,0,2,,-0.90
0.206000,-95.2500,920.8610,0,2,,-0.90
0.208000,-93.1250,916.3653,0,2,,-0.90
0.210000,-90.7500,912.4592,0,2,,-0.90
0.212000,-77.1250,908.5575,0,2,,-0.90
0.214000,-81.7500,904.0988,0,2,,-0.90
0.216000,-83.0000,898.7442,0,2,,-0.90
0.218000,-86.0000,892.4881,0,2,,-0.90
0.220000,-84.3750,885.6403,0,2,,-0.90
0.222000,-82.0000,878.6945,0,2,,-0.90
0.224000,-86.7500,872.1373,0,2,,-0.90
0.226000,-88.2500,866.2707,0,2,,-0.90
0.228000,-84.5000,861.1119,0,2,,-0.90
0.230000,-85.6250,856.4050,0,2,,-0.90
0.232000,-82.5000,851.7329,0,2,,-0.90
0.234000,-85.2500,846.6857,0,2,,-0.90
0.236000,-82.6250,841.0177,0,2,,-0.90
0.238000,-83.2500,834.7362,0,2,,-0.90
0.240000,-83.1250,828.0911,0,2,,-0.90
0.242000,-82.2500,821.4731,0,2,,-0.90
0.244000,-84.1250,815.2622,0,2,,-0.90
0.246000,-86.8750,809.6834,0,2,,-0.90
0.248000,-84.2500,804.7249,0,2,,-0.90
0.250000,-85.2500,800.1472,0,2,,-0.90
