timestamp_s,filtered_mV,loop,hr_bpm,snr_wb_db,snr_qrs_db
0.158000,-91.8750,0,,,
0.168000,-97.0000,0,,,
0.178000,-92.5000,0,,,
0.188000,-97.3750,0,,,
0.198000,-89.3750,0,,,
0.208000,-94.8750,0,,,
0.218000,-89.6250,0,,,
0.228000,-95.1250,0,,,
0.238000,-89.1250,0,,,
0.248000,-95.0000,0,,,
0.258000,-89.7500,0,,,
0.268000,-95.1250,0,,,
0.278000,-87.8750,0,,,
0.288000,-94.8750,0,,,
0.298000,-86.6250,0,,,
0.308000,-93.3750,0,,,
0.318000,-87.5000,0,,,
0.328000,-91.2500,0,,,
0.338000,-87.1250,0,,,
0.348000,-91.5000,0,,,
0.358000,-88.0000,0,,,
0.368000,-93.1250,0,,,
0.378000,-89.3750,0,,,
0.388000,-94.3750,0,,,
0.398000,-89.5000,0,,,
0.408000,-94.1250,0,,,
0.418000,-90.0000,0,,,
0.428000,-91.7500,0,,,
0.438000,-88.7500,0,,,
0.448000,-91.6250,0,,,
0.458000,-86.3750,0,,,
0.468000,-85.2500,0,,,
0.478000,-77.6250,0,,,
0.488000,-87.3750,0,,,
0.498000,-96.8750,0,,,
0.508000,-97.5000,0,,,
0.518000,-85.1250,0,,,
0.528000,-85.8750,0,,,
0.538000,-84.1250,0,,,
0.548000,-84.6250,0,,,
0.558000,-82.1250,0,,,
0.568000,-84.8750,0,,,
0.578000,-81.6250,0,,,
0.588000,-84.0000,0,,,
0.598000,-80.6250,0,,,
0.608000,-83.0000,0,,,
0.618000,-80.0000,0,,,
0.628000,-81.7500,0,,,
0.638000,-75.8750,0,,,
0.648000,-78.3750,0,,,
0.658000,-75.6250,0,,,
0.668000,-76.5000,0,,,
0.678000,-74.2500,0,,,
0.688000,-76.0000,0,,,
0.698000,-75.7500,0,,,
0.708000,-77.3750,0,,,
0.718000,-78.6250,0,,,
0.728000,-80.5000,0,,,
0.738000,-80.2500,0,,,
0.748000,-81.3750,0,,,
0.758000,-81.0000,0,,,
0.768000,-82.5000,0,,,
0.778000,-81.5000,0,,,
0.788000,-82.1250,0,,,
0.798000,-82.7500,0,,,
0.808000,-82.5000,0,,,
0.818000,-82.0000,0,,,
0.828000,-82.5000,0,,,
0.838000,-82.3750,0,,,
0.848000,-81.6250,0,,,
0.858000,-82.2500,0,,,
0.868000,-80.7500,0,,,
0.878000,-81.8750,0,,,
0.888000,-81.1250,0,,,
0.898000,-81.3750,0,,,
0.908000,-81.1250,0,,,
0.918000,-82.3750,0,,,
0.928000,-79.7500,0,,,
0.938000,-81.8750,0,,,
0.948000,-80.7500,0,,,
0.958000,-82.2500,0,,,
0.968000,-81.8750,0,,,
0.978000,-82.8750,0,,,
0.988000,-81.8750,0,,,
0.998000,-82.5000,0,,,
1.008000,-81.5000,0,,,
1.018000,-82.3750,0,,,
1.028000,-78.3750,0,,,
1.038000,-81.0000,0,,,
1.048000,-81.1250,0,,,
1.058000,-83.0000,0,,,
1.068000,-82.0000,0,,,
1.078000,-85.6250,0,,,
1.088000,-82.0000,0,,,
1.098000,-84.3750,0,,,
1.108000,-78.7500,0,,,
1.118000,-83.8750,0,,,
1.128000,-81.0000,0,,,
1.138000,-84.5000,0,,,
1.148000,-75.5000,0,,,
1.158000,-73.2500,0,,,
1.168000,-71.5000,0,,,
1.178000,-87.7500,0,,,
1.188000,-92.8750,0,,,
1.198000,-84.1250,0,,,
1.208000,-74.1250,0,,,
1.218000,-80.0000,0,,,
1.228000,-77.8750,0,,,
1.238000,-82.2500,0,,,
1.248000,-74.8750,0,,,
1.258000,-81.2500,0,,,
1.268000,-74.3750,0,,,
1.278000,-81.0000,0,,,
1.288000,-74.3750,0,,,
1.298000,-82.7500,0,,,
1.308000,-76.1250,0,,,
1.318000,-77.6250,0,,,
1.328000,-71.1250,0,,,
1.338000,-77.1250,0,,,
1.348000,-70.0000,0,,,
1.358000,-78.5000,0,,,
1.368000,-71.7500,0,,,
1.378000,-77.7500,0,,,
1.388000,-72.0000,0,,,
1.398000,-78.7500,0,,,
1.408000,-75.0000,0,,,
1.418000,-85.7500,0,,,
1.428000,-79.7500,0,,,
1.438000,-84.2500,0,,,
1.448000,-82.0000,0,,,
1.458000,-85.3750,0,,,
1.468000,-81.3750,0,,,
1.478000,-85.0000,0,,,
1.488000,-84.1250,0,,,
1.498000,-87.7500,0,,,
1.508000,-81.7500,0,,,
1.518000,-84.6250,0,,,
1.528000,-81.7500,0,,,
1.538000,-85.0000,0,,,
1.548000,-82.3750,0,,,
1.558000,-85.1250,0,,,
1.568000,-80.3750,0,,,
1.578000,-82.3750,0,,,
1.588000,-82.1250,0,,,
1.598000,-84.0000,0,,,
1.608000,-83.3750,0,,,
1.618000,-84.3750,0,,,
1.628000,-81.5000,0,,,
1.638000,-84.5000,0,,,
1.648000,-80.7500,0,,,
1.658000,-82.2500,0,,,
1.668000,-81.6250,0,,,
1.678000,-82.2500,0,,,
1.688000,-81.3750,0,,,
1.698000,-80.6250,0,,,
1.708000,-77.3750,0,,,
1.718000,-79.6250,0,,,
1.728000,-77.8750,0,,,
1.738000,-80.2500,0,,,
1.748000,-78.7500,0,,,
1.758000,-80.5000,0,,,
1.768000,-78.8750,0,,,
1.778000,-79.6250,0,,,
1.788000,-78.6250,0,,,
1.798000,-79.7500,0,,,
1.808000,-79.2500,0,,,
1.818000,-78.7500,0,,,
1.828000,-79.2500,0,,,
1.838000,-73.3750,0,,,
1.848000,-67.5000,0,,,
1.858000,-69.6250,0,,,
1.868000,-78.8750,0,,,
1.878000,-92.8750,0,,,
1.888000,-81.0000,0,,,
1.898000,-73.8750,0,,,
1.908000,-77.0000,0,,,
1.918000,-75.2500,0,,,
1.928000,-75.3750,0,,,
1.938000,-76.7500,0,,,
1.948000,-75.2500,0,,,
1.958000,-76.3750,0,,,
1.968000,-77.7500,0,,,
1.978000,-74.3750,0,,,
1.988000,-76.6250,0,,,
1.998000,-74.3750,0,,,
2.008000,-77.5000,0,,,
2.018000,-72.6250,0,,,
2.028000,-75.2500,0,,,
2.038000,-71.6250,0,,,
2.048000,-73.5000,0,,,
2.058000,-70.8750,0,,,
2.068000,-75.5000,0,,,
2.078000,-72.1250,0,,,
2.088000,-79.5000,0,,,
2.098000,-74.7500,0,,,
2.108000,-82.5000,0,,,
2.118000,-77.7500,0,,,
2.128000,-83.6250,0,,,
2.138000,-79.7500,0,,,
2.148000,-85.1250,0,,,
2.158000,-80.2500,0,,,
2.168000,-85.1250,0,,,
2.178000,-81.7500,0,,,
2.188000,-86.0000,0,,,
2.198000,-79.6250,0,,,
2.208000,-84.1250,0,,,
2.218000,-80.0000,0,,,
2.228000,-85.0000,0,,,
2.238000,-79.7500,0,,,
2.248000,-84.8750,0,,,
2.258000,-79.0000,0,,,
2.268000,-83.7500,0,,,
2.278000,-79.7500,0,,,
2.288000,-84.2500,0,,,
2.298000,-80.1250,0,,,
2.308000,-85.8750,0,,,
2.318000,-81.0000,0,,,
2.328000,-85.3750,0,,,
2.338000,-81.2500,0,,,
2.348000,-87.8750,0,,,
2.358000,-81.0000,0,,,
2.368000,-87.2500,0,,,
2.378000,-81.8750,0,,,
2.388000,-85.6250,0,,,
2.398000,-80.1250,0,,,
2.408000,-85.5000,0,,,
2.418000,-81.1250,0,,,
2.428000,-86.6250,0,,,
2.438000,-82.5000,0,,,
2.448000,-87.6250,0,,,
2.458000,-83.8750,0,,,
2.468000,-87.8750,0,,,
2.478000,-85.2500,0,,,
2.488000,-87.2500,0,,,
2.498000,-84.8750,0,,,
2.508000,-89.5000,0,,,
2.518000,-86.1250,0,,,
2.528000,-83.2500,0,,,
2.538000,-74.8750,0,,,
2.548000,-81.2500,0,,,
2.558000,-91.3750,0,,,
2.568000,-101.6250,0,,,
2.578000,-87.5000,0,,,
2.588000,-84.1250,0,,,
2.598000,-84.5000,0,,,
2.608000,-85.1250,0,,,
2.618000,-83.8750,0,,,
2.628000,-85.2500,0,,,
2.638000,-82.8750,0,,,
2.648000,-82.3750,0,,,
2.658000,-83.5000,0,,,
2.668000,-82.5000,0,,,
2.678000,-83.1250,0,,,
2.688000,-83.0000,0,,,
2.698000,-81.7500,0,,,
2.708000,-83.2500,0,,,
2.718000,-81.6250,0,,,
2.728000,-79.3750,0,,,
2.738000,-79.3750,0,,,
2.748000,-79.6250,0,,,
2.758000,-79.1250,0,,,
2.768000,-80.1250,0,,,
2.778000,-82.5000,0,,,
2.788000,-84.3750,0,,,
2.798000,-86.7500,0,,,
2.808000,-88.1250,0,,,
2.818000,-87.8750,0,,,
2.828000,-90.0000,0,,,
2.838000,-89.0000,0,,,
2.848000,-88.8750,0,,,
2.858000,-88.6250,0,,,
2.868000,-89.1250,0,,,
2.878000,-89.5000,0,,,
2.888000,-89.7500,0,,,
2.898000,-89.3750,0,,,
2.908000,-88.2500,0,,,
2.918000,-88.3750,0,,,
2.928000,-88.2500,0,,,
2.938000,-88.3750,0,,,
2.948000,-88.7500,0,,,
2.958000,-89.2500,0,,,
2.968000,-89.3750,0,,,
2.978000,-91.7500,0,,,
2.988000,-87.5000,0,,,
2.998000,-90.1250,0,,,
3.008000,-89.7500,0,,,
3.018000,-90.6250,0,,,
3.028000,-88.8750,0,,,
3.038000,-89.3750,0,,,
3.048000,-86.8750,0,,,
3.058000,-88.6250,0,,,
3.068000,-84.7500,0,,,
3.078000,-86.6250,0,,,
3.088000,-85.2500,0,,,
3.098000,-88.2500,0,,,
3.108000,-83.3750,0,,,
3.118000,-89.2500,0,,,
3.128000,-86.0000,0,,,
3.138000,-90.1250,0,,,
3.148000,-87.3750,0,,,
3.158000,-88.7500,0,,,
3.168000,-85.3750,0,,,
3.178000,-91.0000,0,,,
3.188000,-85.2500,0,,,
3.198000,-90.5000,0,,,
3.208000,-83.5000,0,,,
3.218000,-84.2500,0,,,
3.228000,-74.6250,0,,,
3.238000,-87.5000,0,,,
3.248000,-97.6250,0,,,
3.258000,-100.1250,0,,,
3.268000,-83.2500,0,,,
3.278000,-87.5000,0,,,
3.288000,-83.7500,0,,,
3.298000,-86.8750,0,,,
3.308000,-83.5000,0,,,
3.318000,-86.1250,0,,,
3.328000,-80.5000,0,,,
3.338000,-83.2500,0,,,
3.348000,-79.1250,0,,,
3.358000,-81.5000,0,,,
3.368000,-76.2500,0,,,
3.378000,-81.0000,0,,,
3.388000,-74.6250,0,,,
3.398000,-76.0000,0,,,
3.408000,-71.0000,0,,,
3.418000,-74.1250,0,,,
3.428000,-69.7500,0,,,
3.438000,-73.3750,0,,,
3.448000,-68.2500,0,,,
3.458000,-72.3750,0,,,
3.468000,-72.5000,0,,,
3.478000,-76.3750,0,,,
3.488000,-75.7500,0,,,
3.498000,-80.2500,0,,,
3.508000,-77.2500,0,,,
3.518000,-82.0000,0,,,
3.528000,-78.1250,0,,,
3.538000,-81.8750,0,,,
3.548000,-78.5000,0,,,
3.558000,-82.2500,0,,,
3.568000,-79.7500,0,,,
3.578000,-81.8750,0,,,
3.588000,-79.6250,0,,,
3.598000,-81.7500,0,,,
3.608000,-79.7500,0,,,
3.618000,-81.2500,0,,,
3.628000,-80.1250,0,,,
3.638000,-82.1250,0,,,
3.648000,-80.3750,0,,,
3.658000,-82.8750,0,,,
3.668000,-81.8750,0,,,
3.678000,-83.2500,0,,,
3.688000,-82.3750,0,,,
3.698000,-83.3750,0,,,
3.708000,-82.5000,0,,,
3.718000,-82.2500,0,,,
3.728000,-81.8750,0,,,
3.738000,-82.8750,0,,,
3.748000,-81.5000,0,,,
3.758000,-81.7500,0,,,
3.768000,-81.3750,0,,,
3.778000,-82.6250,0,,,
3.788000,-82.3750,0,,,
3.798000,-78.3750,0,,,
3.808000,-81.5000,0,,,
3.818000,-83.8750,0,,,
3.828000,-83.8750,0,,,
3.838000,-84.5000,0,,,
3.848000,-85.1250,0,,,
3.858000,-86.0000,0,,,
3.868000,-85.3750,0,,,
3.878000,-86.7500,0,,,
3.888000,-85.8750,0,,,
3.898000,-86.5000,0,,,
3.908000,-82.5000,0,,,
3.918000,-79.0000,0,,,
3.928000,-76.5000,0,,,
3.938000,-86.6250,0,,,
3.948000,-101.5000,0,,,
3.958000,-93.3750,0,,,
3.968000,-82.7500,0,,,
3.978000,-83.8750,0,,,
3.988000,-83.2500,0,,,
3.998000,-86.2500,0,,,
4.008000,-82.0000,0,,,
4.018000,-80.3750,0,,,
4.028000,-79.2500,0,,,
4.038000,-81.1250,0,,,
4.048000,-90.2500,0,,,
4.058000,-88.0000,0,,,
4.068000,-88.5000,0,,,
4.078000,-93.7500,0,,,
4.088000,-92.7500,0,,,
4.098000,-89.3750,0,,,
4.108000,-91.2500,0,,,
4.118000,-91.2500,0,,,
4.128000,-90.5000,0,,,
4.138000,-89.7500,0,,,
4.148000,-93.1250,0,,,
4.158000,-87.1250,0,,,
4.168000,-92.6250,0,,,
4.178000,-88.2500,0,,,
4.188000,-92.6250,0,,,
4.198000,-89.2500,0,,,
4.208000,-91.8750,0,,,
4.218000,-89.8750,0,,,
4.228000,-81.2500,0,,,
4.238000,-90.1250,0,,,
4.248000,-91.2500,0,,,
4.258000,-84.5000,0,,,
4.268000,-80.5000,0,,,
4.278000,-80.6250,0,,,
4.288000,-92.1250,0,,,
4.298000,-94.0000,0,,,
4.308000,-94.3750,0,,,
4.318000,-88.6250,0,,,
4.328000,-87.2500,0,,,
4.338000,-90.0000,0,,,
4.348000,-91.2500,0,,,
4.358000,-89.5000,0,,,
4.368000,-91.7500,0,,,
4.378000,-92.0000,0,,,
4.388000,-87.0000,0,,,
4.398000,-87.3750,0,,,
4.408000,-80.1250,0,,,
4.418000,-93.1250,0,,,
4.428000,-100.3750,0,,,
4.438000,-100.8750,0,,,
4.448000,-86.5000,0,,,
4.458000,-93.5000,0,,,
4.468000,-88.6250,0,,,
4.478000,-94.7500,0,,,
4.488000,-91.8750,0,,,
4.498000,-92.3750,0,,,
4.508000,-91.6250,0,,,
4.518000,-99.8750,0,,,
4.528000,-102.3750,0,,,
4.538000,-100.8750,0,,,
4.548000,-116.3750,0,,,
4.558000,-117.2500,0,,,
4.568000,-117.1250,0,,,
4.578000,-116.8750,0,,,
4.588000,-118.1250,0,,,
4.598000,-108.8750,0,,,
4.608000,-99.3750,0,,,
4.618000,-126.7500,0,,,
4.628000,-106.1250,0,,,
4.638000,-120.1250,0,,,
4.648000,-111.7500,0,,,
4.658000,-103.7500,0,,,
4.668000,-103.3750,0,,,
4.678000,-96.3750,0,,,
4.688000,-90.7500,0,,,
4.698000,-84.1250,0,,,
4.708000,-85.6250,0,,,
4.718000,-81.1250,0,,,
4.728000,-87.3750,0,,,
4.738000,-79.8750,0,,,
4.748000,-91.0000,0,,,
4.758000,-84.8750,0,,,
4.768000,-82.1250,0,,,
4.778000,-76.8750,0,,,
4.788000,-81.2500,0,,,
4.798000,-74.0000,0,,,
4.808000,-76.5000,0,,,
4.818000,-77.3750,0,,,
4.828000,-75.7500,0,,,
4.838000,-70.3750,0,,,
4.848000,-67.8750,0,,,
4.858000,-70.5000,0,,,
4.868000,-76.8750,0,,,
4.878000,-82.1250,0,,,
4.888000,-84.0000,0,,,
4.898000,-84.5000,0,,,
4.908000,-78.6250,0,,,
4.918000,-82.1250,0,,,
4.928000,-84.1250,0,,,
4.938000,-81.7500,0,,,
4.948000,-83.6250,0,,,
4.958000,-82.2500,0,,,
4.968000,-84.7500,0,,,
4.978000,-85.3750,0,,,
4.988000,-81.8750,0,,,
4.998000,-84.5000,0,,,
5.008000,-78.1250,0,,,
5.018000,-76.5000,0,,,
5.028000,-103.2500,0,,,
5.038000,-84.6250,0,,,
5.048000,-83.3750,0,,,
5.058000,-81.8750,0,,,
5.068000,-78.7500,0,,,
5.078000,-87.7500,0,,,
5.088000,-88.0000,0,,,
5.098000,-90.2500,0,,,
5.108000,-88.1250,0,,,
5.118000,-87.6250,0,,,
5.128000,-88.7500,0,,,
5.138000,-92.2500,0,,,
5.148000,-89.7500,0,,,
5.158000,-96.0000,0,,,
5.168000,-89.7500,0,,,
5.178000,-96.8750,0,,,
5.188000,-91.2500,0,,,
5.198000,-94.1250,0,,,
5.208000,-93.8750,0,,,
5.218000,-89.3750,0,,,
5.228000,-83.2500,0,,,
5.238000,-85.2500,0,,,
5.248000,-90.8750,0,,,
5.258000,-90.3750,0,,,
5.268000,-96.2500,0,,,
5.278000,-93.8750,0,,,
5.288000,-92.7500,0,,,
5.298000,-94.5000,0,,,
5.308000,-91.6250,0,,,
5.318000,-89.7500,0,,,
5.328000,-92.8750,0,,,
5.338000,-94.8750,0,,,
5.348000,-96.2500,0,,,
5.358000,-98.3750,0,,,
5.368000,-96.0000,0,,,
5.378000,-91.1250,0,,,
5.388000,-82.3750,0,,,
