timestamp_s,raw_mV,filtered_mV,is_r_peak,loop,hr_bpm,snr_db
0.000000,-0.0248,-0.0580,0,2,72.46,7.33
0.002000,-0.0079,-0.0488,0,2,72.46,7.33
0.004000,0.0060,-0.0410,0,2,72.46,7.33
0.006000,0.0234,-0.0355,0,2,72.46,7.33
0.008000,0.0187,-0.0330,0,2,72.46,7.33
0.010000,-0.0159,-0.0331,0,2,72.46,7.33
0.012000,0.0135,-0.0350,0,2,72.46,7.33
0.014000,-0.0147,-0.0376,0,2,72.46,7.33
0.016000,-0.0006,-0.0396,0,2,72.46,7.33
0.018000,-0.0184,-0.0399,0,2,72.46,7.33
0.020000,-0.0346,-0.0381,0,2,72.46,7.33
0.022000,-0.0119,-0.0343,0,2,72.46,7.33
0.024000,0.0293,-0.0292,0,2,72.46,7.33
0.026000,0.0423,-0.0239,0,2,72.46,7.33
0.028000,0.0429,-0.0194,0,2,72.46,7.33
0.030000,0.0073,-0.0168,0,2,72.46,7.33
0.032000,0.0355,-0.0166,0,2,72.46,7.33
0.034000,0.0130,-0.0189,0,2,72.46,7.33
0.036000,-0.0118,-0.0230,0,2,72.46,7.33
0.038000,0.0174,-0.0283,0,2,72.46,7.33
0.040000,0.0065,-0.0338,0,2,72.46,7.33
0.042000,0.0323,-0.0383,0,2,72.46,7.33
0.044000,-0.0112,-0.0410,0,2,72.46,7.33
0.046000,-0.0069,-0.0412,0,2,72.46,7.33
0.048000,-0.0010,-0.0386,0,2,72.46,7.33
0.050000,0.0168,-0.0334,0,2,72.46,7.33
0.052000,0.0102,-0.0259,0,2,72.46,7.33
0.054000,0.0340,-0.0170,0,2,72.46,7.33
0.056000,0.0104,-0.0075,0,2,72.46,7.33
0.058000,0.0692,0.0018,0,2,72.46,7.33
0.060000,0.0547,0.0103,0,2,72.46,7.33
0.062000,0.0717,0.0179,0,2,72.46,7.33
0.064000,0.0676,0.0244,0,2,72.46,7.33
0.066000,0.0765,0.0304,0,2,72.46,7.33
0.068000,0.1021,0.0362,0,2,72.46,7.33
0.070000,0.0815,0.0425,0,2,72.46,7.33
0.072000,0.0929,0.0495,0,2,72.46,7.33
0.074000,0.0860,0.0574,0,2,72.46,7.33
0.076000,0.0808,0.0659,0,2,72.46,7.33
0.078000,0.1244,0.0746,0,2,72.46,7.33
0.080000,0.1690,0.0827,0,2,72.46,7.33
0.082000,0.1376,0.0897,0,2,72.46,7.33
0.084000,0.1428,0.0953,0,2,72.46,7.33
0.086000,0.1734,0.0994,0,2,72.46,7.33
0.088000,0.1777,0.1023,0,2,72.46,7.33
0.090000,0.1174,0.1048,0,2,72.46,7.33
0.092000,0.1484,0.1073,0,2,72.46,7.33
0.094000,0.1472,0.1103,0,2,72.46,7.33
