timestamp_s,raw_mV,filtered_mV,is_r_peak,loop,hr_bpm,snr_db
0.000000,-1258.9688,-0.4292,0,2,,-13.99
0.002000,-1258.9688,177.9224,0,2,,-13.99
0.004000,-626.0312,341.6540,0,2,,-13.99
0.006000,-626.0312,478.4894,0,2,,-13.99
0.008000,-626.0312,580.6685,0,2,,-13.99
0.010000,-626.0312,645.8883,0,2,,-13.99
0.012000,-626.0312,677.0327,0,2,,-13.99
0.014000,-626.0312,680.9047,0,2,,-13.99
0.016000,-626.0312,666.4113,0,2,,-13.99
0.018000,-626.0312,642.6953,0,2,,-13.99
0.020000,-626.0312,617.6007,0,2,,-13.99
0.022000,-626.0312,596.6967,0,2,,-13.99
0.024000,-626.0312,582.9177,0,2,,-13.99
0.026000,-626.0312,576.7551,0,2,,-13.99
0.028000,-626.0312,576.8469,0,2,,-13.99
0.030000,-626.0312,580.7783,0,2,,-13.99
0.032000,-626.0312,585.8989,0,2,,-13.99
0.034000,-626.0312,589.9952,0,2,,-13.99
0.036000,-626.0312,591.7095,0,2,,-13.99
0.038000,-626.0312,590.6617,0,2,,-13.99
0.040000,-626.0312,587.3048,0,2,,-13.99
0.042000,-626.0312,582.5955,0,2,,-13.99
0.044000,-626.0312,577.6012,0,2,,-13.99
0.046000,-626.0312,573.1596,0,2,,-13.99
0.048000,-626.0312,569.6784,0,2,,-13.99
0.050000,-626.0312,567.1110,0,2,,-13.99
0.052000,-626.0312,565.0850,0,2,,-13.99
0.054000,-626.0312,563.1167,0,2,,-13.99
0.056000,-626.0312,560.8250,0,2,,-13.99
0.058000,-626.0312,558.0698,0,2,,-13.99
0.060000,-626.0312,554.9746,0,2,,-13.99
0.062000,-626.0312,551.8389,0,2,,-13.99
0.064000,-626.0312,548.9864,0,2,,-13.99
0.066000,-626.0312,546.6149,0,2,,-13.99
0.068000,-626.0312,544.7078,0,2,,-13.99
0.070000,-626.0312,543.0394,0,2,,-13.99
0.072000,-626.0312,541.2683,0,2,,-13.99
0.074000,-626.0312,539.0773,0,2,,-13.99
0.076000,-626.0312,536.3039,0,2,,-13.99
0.078000,-626.0312,533.0081,0,2,,-13.99
0.080000,-626.0312,529.4523,0,2,,-13.99
