timestamp_s,filtered_mV,loop,hr_bpm,snr_wb_db,snr_qrs_db
0.098000,-87.0000,0,,,
0.108000,-87.6250,0,,,
0.118000,-87.1250,0,,,
0.128000,-87.6250,0,,,
0.138000,-86.0000,0,,,
0.148000,-87.5000,0,,,
0.158000,-86.8750,0,,,
0.168000,-87.1250,0,,,
0.178000,-88.0000,0,,,
0.188000,-86.0000,0,,,
0.198000,-85.2500,0,,,
0.208000,-87.5000,0,,,
0.218000,-88.0000,0,,,
0.228000,-86.7500,0,,,
0.238000,-87.0000,0,,,
0.248000,-81.7500,0,,,
0.258000,-87.0000,0,,,
0.268000,-83.3750,0,,,
0.278000,-87.0000,0,,,
0.288000,-85.5000,0,,,
0.298000,-86.7500,0,,,
0.308000,-85.3750,0,,,
0.318000,-87.3750,0,,,
0.328000,-84.1250,0,,,
0.338000,-89.7500,0,,,
0.348000,-88.1250,0,,,
0.358000,-88.2500,0,,,
0.368000,-83.2500,0,,,
0.378000,-88.0000,0,,,
0.388000,-83.8750,0,,,
0.398000,-85.0000,0,,,
0.408000,-77.8750,0,,,
0.418000,-87.3750,0,,,
0.428000,-84.6250,0,,,
0.438000,-87.1250,0,,,
0.448000,-83.5000,0,,,
0.458000,-87.5000,0,,,
0.468000,-84.0000,0,,,
0.478000,-87.3750,0,,,
0.488000,-85.7500,0,,,
0.498000,-86.6250,0,,,
0.508000,-85.3750,0,,,
0.518000,-86.3750,0,,,
0.528000,-79.3750,0,,,
0.538000,-80.0000,0,,,
0.548000,-82.7500,0,,,
0.558000,-94.1250,0,,,
0.568000,-98.7500,0,,,
0.578000,-82.1250,0,,,
0.588000,-77.1250,0,,,
0.598000,-82.2500,0,,,
0.608000,-83.7500,0,,,
0.618000,-84.0000,0,,,
0.628000,-80.6250,0,,,
0.638000,-83.5000,0,,,
0.648000,-80.5000,0,,,
0.658000,-81.0000,0,,,
0.668000,-77.6250,0,,,
0.678000,-82.3750,0,,,
0.688000,-74.2500,0,,,
0.698000,-79.5000,0,,,
0.708000,-75.5000,0,,,
0.718000,-74.3750,0,,,
0.728000,-76.1250,0,,,
0.738000,-67.2500,0,,,
0.748000,-71.5000,0,,,
0.758000,-76.3750,0,,,
0.768000,-82.1250,0,,,
0.778000,-73.2500,0,,,
0.788000,-75.7500,0,,,
0.798000,-77.0000,0,,,
0.808000,-77.2500,0,,,
0.818000,-80.0000,0,,,
0.828000,-78.7500,0,,,
0.838000,-82.3750,0,,,
0.848000,-79.1250,0,,,
0.858000,-80.6250,0,,,
0.868000,-85.0000,0,,,
0.878000,-80.5000,0,,,
0.888000,-83.2500,0,,,
0.898000,-79.6250,0,,,
0.908000,-73.1250,0,,,
0.918000,-89.8750,0,,,
0.928000,-80.7500,0,,,
0.938000,-56.8750,0,,,
0.948000,-74.0000,0,,,
0.958000,-56.2500,0,,,
0.968000,-75.7500,0,,,
0.978000,-69.5000,0,,,
0.988000,-74.7500,0,,,
0.998000,-63.8750,0,,,
1.008000,-73.0000,0,,,
1.018000,-72.2500,0,,,
1.028000,-68.1250,0,,,
1.038000,-68.6250,0,,,
1.048000,-67.5000,0,,,
1.058000,-65.1250,0,,,
1.068000,-61.7500,0,,,
1.078000,-64.8750,0,,,
1.088000,-58.8750,0,,,
1.098000,-61.3750,0,,,
1.108000,-36.0000,0,,,
1.118000,-61.3750,0,,,
1.128000,-47.5000,0,,,
1.138000,-58.1250,0,,,
1.148000,-56.1250,0,,,
1.158000,-56.8750,0,,,
1.168000,-37.6250,0,,,
1.178000,-56.3750,0,,,
1.188000,-56.3750,0,,,
1.198000,-55.6250,0,,,
1.208000,-56.0000,0,,,
1.218000,-58.5000,0,,,
1.228000,-55.6250,0,,,
1.238000,-54.0000,0,,,
1.248000,-48.0000,0,,,
1.258000,-38.3750,0,,,
1.268000,-43.0000,0,,,
1.278000,-58.1250,0,,,
1.288000,-67.8750,0,,,
1.298000,-51.3750,0,,,
1.308000,-45.5000,0,,,
1.318000,-46.1250,0,,,
1.328000,-47.1250,0,,,
1.338000,-46.1250,0,,,
1.348000,-46.1250,0,,,
1.358000,-46.5000,0,,,
1.368000,-46.0000,0,,,
1.378000,-44.5000,0,,,
1.388000,-45.2500,0,,,
1.398000,-43.0000,0,,,
1.408000,-42.2500,0,,,
1.418000,-41.1250,0,,,
1.428000,-40.6250,0,,,
1.438000,-38.5000,0,,,
1.448000,-38.7500,0,,,
1.458000,-38.1250,0,,,
1.468000,-36.5000,0,,,
1.478000,-36.5000,0,,,
1.488000,-37.3750,0,,,
1.498000,-39.0000,0,,,
1.508000,-40.7500,0,,,
1.518000,-43.7500,0,,,
1.528000,-44.1250,0,,,
1.538000,-46.1250,0,,,
1.548000,-46.8750,0,,,
1.558000,-50.0000,0,,,
1.568000,-48.7500,0,,,
1.578000,-49.8750,0,,,
1.588000,-49.0000,0,,,
1.598000,-51.2500,0,,,
1.608000,-48.0000,0,,,
1.618000,-50.2500,0,,,
1.628000,-49.5000,0,,,
1.638000,-51.5000,0,,,
1.648000,-50.1250,0,,,
1.658000,-54.0000,0,,,
1.668000,-51.7500,0,,,
1.678000,-54.0000,0,,,
1.688000,-52.5000,0,,,
1.698000,-54.6250,0,,,
1.708000,-53.5000,0,,,
1.718000,-55.1250,0,,,
1.728000,-55.7500,0,,,
1.738000,-56.3750,0,,,
1.748000,-54.0000,0,,,
1.758000,-56.6250,0,,,
1.768000,-56.3750,0,,,
1.778000,-57.7500,0,,,
1.788000,-56.6250,0,,,
1.798000,-58.0000,0,,,
1.808000,-57.3750,0,,,
1.818000,-58.8750,0,,,
1.828000,-57.6250,0,,,
1.838000,-59.2500,0,,,
1.848000,-58.8750,0,,,
1.858000,-58.7500,0,,,
1.868000,-60.0000,0,,,
1.878000,-59.7500,0,,,
1.888000,-60.7500,0,,,
1.898000,-61.6250,0,,,
1.908000,-61.1250,0,,,
1.918000,-62.8750,0,,,
1.928000,-63.8750,0,,,
1.938000,-64.6250,0,,,
1.948000,-65.3750,0,,,
1.958000,-67.7500,0,,,
