timestamp_s,filtered_mV,loop,hr_bpm,snr_wb_db,snr_qrs_db
0.468000,-77.1250,0,,,
0.478000,-79.3750,0,,,
0.488000,-82.3750,0,,,
0.498000,-84.1250,0,,,
0.508000,-85.6250,0,,,
0.518000,-87.2500,0,,,
0.528000,-86.8750,0,,,
0.538000,-87.8750,0,,,
0.548000,-88.0000,0,,,
0.558000,-87.7500,0,,,
0.568000,-87.1250,0,,,
0.578000,-87.6250,0,,,
0.588000,-86.8750,0,,,
0.598000,-87.5000,0,,,
0.608000,-87.1250,0,,,
0.618000,-87.0000,0,,,
0.628000,-86.5000,0,,,
0.638000,-86.5000,0,,,
0.648000,-86.2500,0,,,
0.658000,-86.7500,0,,,
0.668000,-86.0000,0,,,
0.678000,-87.5000,0,,,
0.688000,-86.8750,0,,,
0.698000,-87.7500,0,,,
0.708000,-87.2500,0,,,
0.718000,-87.3750,0,,,
0.728000,-86.5000,0,,,
0.738000,-87.7500,0,,,
0.748000,-87.5000,0,,,
0.758000,-87.8750,0,,,
0.768000,-86.7500,0,,,
0.778000,-88.2500,0,,,
0.788000,-86.5000,0,,,
0.798000,-87.2500,0,,,
0.808000,-85.6250,0,,,
0.818000,-86.8750,0,,,
0.828000,-85.0000,0,,,
0.838000,-85.5000,0,,,
0.848000,-86.1250,0,,,
0.858000,-87.2500,0,,,
0.868000,-87.1250,0,,,
0.878000,-87.8750,0,,,
0.888000,-87.3750,0,,,
0.898000,-89.0000,0,,,
0.908000,-88.0000,0,,,
0.918000,-89.1250,0,,,
0.928000,-87.8750,0,,,
0.938000,-88.6250,0,,,
0.948000,-86.0000,0,,,
0.958000,-82.8750,0,,,
0.968000,-69.6250,0,,,
0.978000,-73.7500,0,,,
0.988000,-94.1250,0,,,
0.998000,-101.8750,0,,,
1.008000,-85.2500,0,,,
1.018000,-82.8750,0,,,
1.028000,-84.1250,0,,,
1.038000,-84.8750,0,,,
1.048000,-84.3750,0,,,
1.058000,-84.3750,0,,,
1.068000,-82.8750,0,,,
1.078000,-83.8750,0,,,
1.088000,-81.8750,0,,,
1.098000,-82.8750,0,,,
1.108000,-80.3750,0,,,
1.118000,-80.6250,0,,,
1.128000,-78.8750,0,,,
1.138000,-78.3750,0,,,
1.148000,-75.6250,0,,,
1.158000,-75.3750,0,,,
1.168000,-73.1250,0,,,
1.178000,-75.3750,0,,,
1.188000,-74.1250,0,,,
1.198000,-76.0000,0,,,
1.208000,-76.6250,0,,,
1.218000,-82.0000,0,,,
1.228000,-82.7500,0,,,
1.238000,-86.0000,0,,,
1.248000,-85.8750,0,,,
1.258000,-87.8750,0,,,
1.268000,-86.7500,0,,,
1.278000,-88.5000,0,,,
1.288000,-87.6250,0,,,
1.298000,-89.5000,0,,,
1.308000,-87.1250,0,,,
1.318000,-88.3750,0,,,
1.328000,-86.5000,0,,,
1.338000,-87.8750,0,,,
1.348000,-86.5000,0,,,
1.358000,-87.8750,0,,,
1.368000,-85.8750,0,,,
1.378000,-87.5000,0,,,
1.388000,-85.8750,0,,,
1.398000,-87.6250,0,,,
1.408000,-86.2500,0,,,
1.418000,-88.2500,0,,,
1.428000,-87.0000,0,,,
1.438000,-87.7500,0,,,
1.448000,-87.2500,0,,,
1.458000,-88.0000,0,,,
1.468000,-86.6250,0,,,
1.478000,-88.5000,0,,,
1.488000,-87.5000,0,,,
1.498000,-89.0000,0,,,
1.508000,-87.1250,0,,,
1.518000,-88.6250,0,,,
1.528000,-87.3750,0,,,
1.538000,-88.1250,0,,,
1.548000,-86.2500,0,,,
1.558000,-87.1250,0,,,
1.568000,-85.8750,0,,,
1.578000,-86.7500,0,,,
1.588000,-85.8750,0,,,
1.598000,-87.5000,0,,,
1.608000,-86.1250,0,,,
1.618000,-89.3750,0,,,
1.628000,-88.0000,0,,,
1.638000,-88.7500,0,,,
1.648000,-88.0000,0,,,
1.658000,-89.0000,0,,,
1.668000,-88.5000,0,,,
1.678000,-89.1250,0,,,
1.688000,-87.8750,0,,,
1.698000,-87.3750,0,,,
1.708000,-81.0000,0,,,
1.718000,-74.0000,0,,,
1.728000,-75.7500,0,,,
1.738000,-98.8750,0,,,
1.748000,-96.0000,0,,,
1.758000,-84.3750,0,,,
1.768000,-82.6250,0,,,
1.778000,-86.0000,0,,,
1.788000,-85.0000,0,,,
1.798000,-85.6250,0,,,
1.808000,-84.1250,0,,,
1.818000,-85.2500,0,,,
