timestamp_s,raw_mV,filtered_mV,is_r_peak,loop,hr_bpm,snr_db
0.000000,-626.0312,0.0000,0,2,,-182.25
0.002000,-626.0312,0.0000,0,2,,-182.25
0.004000,-626.0312,0.0000,0,2,,-182.25
0.006000,-626.0312,0.0000,0,2,,-182.25
0.008000,-626.0312,0.0000,0,2,,-182.25
0.010000,-626.0312,0.0000,0,2,,-182.25
0.012000,-626.0312,0.0000,0,2,,-182.25
0.014000,-626.0312,0.0000,0,2,,-182.25
0.016000,-626.0312,0.0000,0,2,,-182.25
0.018000,-626.0312,0.0000,0,2,,-182.25
0.020000,-626.0312,0.0000,0,2,,-182.25
0.022000,-626.0312,0.0000,0,2,,-182.25
0.024000,-626.0312,0.0000,0,2,,-182.25
0.026000,-626.0312,0.0000,0,2,,-182.25
0.028000,-626.0312,0.0000,0,2,,-182.25
0.030000,-626.0312,0.0000,0,2,,-182.25
0.032000,-626.0312,0.0000,0,2,,-182.25
0.034000,-626.0312,0.0000,0,2,,-182.25
0.036000,-626.0312,0.0000,0,2,,-182.25
0.038000,-626.0312,0.0000,0,2,,-182.25
0.040000,-626.0312,0.0000,0,2,,-182.25
0.042000,-626.0312,0.0000,0,2,,-182.25
0.044000,-626.0312,0.0000,0,2,,-182.25
0.046000,-626.0312,0.0000,0,2,,-182.25
0.048000,-626.0312,0.0000,0,2,,-182.25
0.050000,-626.0312,0.0000,0,2,,-182.25
0.052000,-626.0312,0.0000,0,2,,-182.25
0.054000,-626.0312,0.0000,0,2,,-182.25
0.056000,-626.0312,0.0000,0,2,,-182.25
0.058000,-626.0312,0.0000,0,2,,-182.25
0.060000,-626.0312,0.0000,0,2,,-182.25
0.062000,-626.0312,0.0000,0,2,,-182.25
0.064000,-626.0312,0.0000,0,2,,-182.25
0.066000,-626.0312,0.0000,0,2,,-182.25
0.068000,-626.0312,0.0000,0,2,,-182.25
0.070000,-626.0312,0.0000,0,2,,-182.25
0.072000,-626.0312,0.0000,0,2,,-182.25
0.074000,-626.0312,0.0000,0,2,,-182.25
0.076000,-626.0312,0.0000,0,2,,-182.25
0.078000,-626.0312,0.0000,0,2,,-182.25
0.080000,-626.0312,0.0000,0,2,,-182.25
0.082000,-626.0312,0.0000,0,2,,-182.25
0.084000,-626.0312,0.0000,0,2,,-182.25
0.086000,-626.0312,0.0000,0,2,,-182.25
0.088000,-626.0312,0.0000,0,2,,-182.25
0.090000,-626.0312,0.0000,0,2,,-182.25
0.092000,-626.0312,0.0000,0,2,,-182.25
0.094000,-626.0312,0.0000,0,2,,-182.25
0.096000,-626.0312,0.0000,0,2,,-182.25
0.098000,-626.0312,0.0000,0,2,,-182.25
0.100000,-626.0312,0.0000,0,2,,-182.25
0.102000,-626.0312,0.0000,0,2,,-182.25
0.104000,-626.0312,0.0000,0,2,,-182.25
0.106000,-626.0312,0.0000,0,2,,-182.25
0.108000,-626.0312,0.0000,0,2,,-182.25
0.110000,-626.0312,0.0000,0,2,,-182.25
0.112000,-626.0312,0.0000,0,2,,-182.25
0.114000,-626.0312,0.0000,0,2,,-182.25
0.116000,-626.0312,0.0000,0,2,,-182.25
0.118000,-626.0312,0.0000,0,2,,-182.25
0.120000,-626.0312,0.0000,0,2,,-182.25
0.122000,-626.0312,0.0000,0,2,,-182.25
0.124000,-626.0312,0.0000,0,2,,-182.25
0.126000,-626.0312,0.0000,0,2,,-182.25
0.128000,-626.0312,0.0000,0,2,,-182.25
0.130000,-626.0312,0.0000,0,2,,-182.25
0.132000,-626.0312,0.0000,0,2,,-182.25
0.134000,-626.0312,0.0000,0,2,,-182.25
0.136000,-626.0312,0.0000,0,2,,-182.25
0.138000,-626.0312,0.0000,0,2,,-182.25
0.140000,-626.0312,0.0000,0,2,,-182.25
0.142000,-626.0312,0.0000,0,2,,-182.25
0.144000,-626.0312,0.0000,0,2,,-182.25
0.146000,-626.0312,0.0000,0,2,,-182.25
0.148000,-626.0312,0.0000,0,2,,-182.25
0.150000,-626.0312,0.0000,0,2,,-182.25
0.152000,-626.0312,0.0000,0,2,,-182.25
0.154000,-626.0312,0.0000,0,2,,-182.25
0.156000,-626.0312,0.0000,0,2,,-182.25
0.158000,-626.0312,0.0000,0,2,,-182.25
0.160000,-626.0312,0.0000,0,2,,-182.25
0.162000,-626.0312,0.0000,0,2,,-182.25
0.164000,-626.0312,0.0000,0,2,,-182.25
0.166000,-626.0312,0.0000,0,2,,-182.25
0.168000,-626.0312,0.0000,0,2,,-182.25
0.170000,-626.0312,0.0000,0,2,,-182.25
0.172000,-626.0312,0.0000,0,2,,-182.25
0.174000,-626.0312,0.0000,0,2,,-182.25
0.176000,-626.0312,0.0000,0,2,,-182.25
0.178000,-626.0312,0.0000,0,2,,-182.25
0.180000,-626.0312,0.0000,0,2,,-182.25
0.182000,-626.0312,0.0000,0,2,,-182.25
0.184000,-626.0312,0.0000,0,2,,-182.25
0.186000,-626.0312,0.0000,0,2,,-182.25
0.188000,-626.0312,0.0000,0,2,,-182.25
0.190000,-626.0312,0.0000,0,2,,-182.25
0.192000,-626.0312,0.0000,0,2,,-182.25
0.194000,-626.0312,0.0000,0,2,,-182.25
0.196000,-626.0312,0.0000,0,2,,-182.25
0.198000,-626.0312,0.0000,0,2,,-182.25
0.200000,-626.0312,0.0000,0,2,,-182.25
0.202000,-626.0312,0.0000,0,2,,-182.25
0.204000,-626.0312,0.0000,0,2,,-182.25
0.206000,-626.0312,0.0000,0,2,,-182.25
0.208000,-626.0312,0.0000,0,2,,-182.25
0.210000,-626.0312,0.0000,0,2,,-182.25
0.212000,-626.0312,0.0000,0,2,,-182.25
0.214000,-626.0312,0.0000,0,2,,-182.25
0.216000,-626.0312,0.0000,0,2,,-182.25
0.218000,-626.0312,0.0000,0,2,,-182.25
0.220000,-626.0312,0.0000,0,2,,-182.25
0.222000,-626.0312,0.0000,0,2,,-182.25
0.224000,-626.0312,0.0000,0,2,,-182.25
0.226000,-626.0312,0.0000,0,2,,-182.25
0.228000,-626.0312,0.0000,0,2,,-182.25
0.230000,-626.0312,0.0000,0,2,,-182.25
0.232000,-626.0312,0.0000,0,2,,-182.25
0.234000,-626.0312,0.0000,0,2,,-182.25
0.236000,-626.0312,0.0000,0,2,,-182.25
0.238000,-626.0312,0.0000,0,2,,-182.25
0.240000,-626.0312,0.0000,0,2,,-182.25
0.242000,-626.0312,0.0000,0,2,,-182.25
0.244000,-626.0312,0.0000,0,2,,-182.25
